_id,lang,tln,cc,loc,p,tlt,plt,t,cr,acr,pln,flrs,f,uid
911133586069139456,en,79.25,IN,uttarakhand,1wwwewewert,30.25,30.25,RT @PavanTuvva: Uttarakhand floods leave trail of death and destruction  http://t.co/zmGS9or9rs via @sharethis,2017-09-22T02:12:29Z,2017-07-14T21:08:51Z,79.25,3,1e222211,886052410543570945
910019506646417409,en,71.5,IN,gujarat,1wwwewewert,22.85,22.85,"RT @Khalsa_Aid: #GujaratFloods 
When the floods devastated Gujarat in 2016 &amp; 2017 our Khalsa Aid India based volunteers were there… ",2017-09-19T00:25:32Z,2010-08-20T01:37:44Z,71.5,154,1e222211,180695935
910844788445814784,en,80.03853,IN,bihar,1wwwewewert,27.07982,27.07982,RT @Gurmeetramrahim: Deeply concerned by the devastation &amp; loss of lives due to heavy floods in Bihar.My thoughts &amp; prayers are with the pe…,2017-09-21T07:04:54Z,2017-08-15T01:56:08Z,80.03853,0,1e222211,897358731893104641
909789725271011328,en,85.19953,IN,asia,1wwwewewert,25.38954,25.38954,"RT @severeweatherEU: *World Weather* Major flash floods comes in Laos, Asia. Reported today, more details when available. Report: Alerta… ",2017-09-18T09:12:28Z,2010-03-19T11:28:38Z,85.19953,427,1e222211,124513925
908267343326863361,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,"RT @mpparimal: #FuelDemand in #India fell 6.1% in the month of August this year, the most in 14 yrs; as floods hindered consumptio… ",2017-09-14T04:23:04Z,2017-03-15T07:35:46Z,76.97021,1,1e222211,841998861107367936
910122564311187457,en,71.5,IN,gujarat,1wwwewewert,22.85,22.85,"RT @Khalsa_Aid: #GujaratFloods 
When the floods devastated Gujarat in 2016 &amp; 2017 our Khalsa Aid India based volunteers were there… ",2017-09-19T07:15:03Z,2013-05-24T18:43:11Z,71.5,327,1e222211,1455560958
908247099795374080,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,"RT @mpparimal: #FuelDemand in #India fell 6.1% in the month of August this year, the most in 14 yrs; as floods hindered consumptio… ",2017-09-14T03:02:37Z,2009-06-30T05:55:15Z,76.97021,193,1e222211,52369430
910845588446617600,en,79.25,IN,uttarakhand,1wwwewewert,30.25,30.25,"RT @Bollyhungama: REVEALED: @itsSSR, #SaraAliKhan starrer #Kedarnath to feature Uttarakhand floods
@Abhishekapoor 

https://t.co/bXFvvITWwX",2017-09-21T07:08:05Z,2017-01-11T02:23:09Z,79.25,246,1e222211,819089749038268417
916612833965596672,en,78,IN,kerala,1wwwewewert,11,11,"@neerajn He spoke abt dengue and chikungunya, where bimaru state UP is doing better compare to Kerala.
https://t.co/iuohJXwxTS",2017-10-07T05:05:04Z,2007-08-07T12:17:42Z,78,89,1e222211,8034812
917647866012696576,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,"RT @Iamtssudhir: Three south India states top #dengue outbreak list. Till 8 Oct, #Kerala (18727 cases/35 deaths), #Karnataka (13016/5), #Ta…",2017-10-10T01:37:54Z,2011-06-29T22:27:26Z,76.97021,166,1e222211,326570650
910436193778749440,en,72.84962,IN,mumbai,1wwwewewert,18.95963,18.95963,"RT @Soumya1910: If you are lucky enough to not be stuck in #MumbaiRains, you could do worse than to read these pieces from the… ",2017-09-20T04:01:18Z,2012-12-14T11:43:47Z,72.84962,1274,1e222211,1011567649
915796931380576256,en,78.04883,IN,pacific,1wwwewewert,30.32768,30.32768,RT @MENTOR_Hq: Updated report on 2017 #Dengue situation in Western Pacific region from @WHO via @reliefweb shows progress &amp; regress https:/…,2017-10-04T23:02:57Z,2009-07-24T21:00:25Z,78.04883,2454,1e222211,59955964
916358638821715969,en,72.84962,IN,mumbai,1wwwewewert,18.95963,18.95963,"RT @AdvancedMaushi: So basically it has stopped raining in Mumbai anymore, it directly floods.",2017-10-06T12:14:59Z,2011-03-20T12:13:35Z,72.84962,46,1e222211,269390360
