_id,lang,tln,cc,loc,p,tlt,plt,t,cr,acr,pln,flrs,f,uid
915337390352240640,en,,,,,,,RT @kurteichenwald: Nazis in street. 9 million children lose health insur. Dengue fever &amp; death in Puerto Rico. Nuclear saber rattling. Ame…,2017-10-03T16:36:54Z,2013-02-08T13:23:14Z,,72,,1160930742
915792445467693056,en,,,,,,,RT @KPierceTV: Residents and business owners in LaPlace say it floods like this with a little rain &amp; wind. Worried about Tropical… ,2017-10-04T22:45:08Z,2014-06-19T17:40:43Z,,3682,,2624101253
910574993406390272,en,,,,,,,"RT @DBloom451: Mitch McConnell PAC for Luther Strange Floods Alabama with More False Ads Attacking Roy Moore. 

VOTE STRANGE OUT! https://t…",2017-09-20T13:12:50Z,2017-09-03T10:34:11Z,,311,,904374471330594816
916658378943983616,en,,,,,,,RT @KPKUpdates: Arbab Hayat is actively leading campaign against GoKP on dengue; on other hand breeding ground recovered from his r… ,2017-10-07T08:06:02Z,2013-05-03T02:56:01Z,,368,,1399191703
913452486429696000,en,,,,,,,"Do you know someone personally affected by the hurricane floods in Texas, Florida and Puerto Rico?",2017-09-28T11:46:58Z,2011-06-10T14:36:23Z,,1127,,314780899
913993702325895169,en,,,,,,,5/ biggest Indian rivers through 18 BJP-ruled states to end deadly floods &amp; droughts @antonioguterres @PScotlandCSG @WMO @DVSBJP @mowrrdgr,2017-09-29T23:37:34Z,2010-12-14T06:55:49Z,,162,,226538593
914278720629649409,en,,,,,,,"The floods have lifted up, O Lord, the floods have lifted up their voice; the floods lift up their waves.",2017-09-30T18:30:08Z,2016-06-03T19:11:15Z,,8,,738893340851195904
910945391972990976,en,,,,,,,"RT @UN: With floods &amp; droughts devastating communities, water has taken center stage. #HLPWater event at @UNGA today:… ",2017-09-21T13:44:40Z,2012-11-24T01:42:13Z,,633,,967530788
916345882261389312,en,,,,,,,RT @rahulroushan: And @CW_dynastycrook exposes Yogi Adityanaths government performance in healthcare https://t.co/4e1u3K3Reg,2017-10-06T11:24:17Z,2014-10-30T14:09:07Z,,2636,,2851974059
908841405799436288,en,,,,,,,"RT @gcu: Every Friday in September 10-2pm on the Union Promenade, come pray for the fires and floods devastating communities… ",2017-09-15T18:24:11Z,2017-08-03T21:36:47Z,,407,,893307197895135232
